date,home_team,away_team,elo_diff,rank_diff,form5_diff,form10_diff,attack_diff,defense_diff,goal_diff_diff,competitive_form_diff,competition_weight,target
2014-09-03,Germany,Argentina,218.76299023431875,1.0,0.30000000000000004,0.04999999999999993,1.3,-0.29999999999999993,0.9999999999999999,0.0,0.5,2
2014-09-03,Argentina,Germany,-218.76299023431875,-1.0,-0.30000000000000004,-0.04999999999999993,-1.3,0.29999999999999993,-0.9999999999999999,-0.0,0.5,0
2014-10-11,Argentina,Brazil,212.07769235329874,4.0,0.19999999999999996,0.15000000000000002,0.0,0.7999999999999999,0.8,0.25,1.0,2
2014-10-11,Brazil,Argentina,-212.07769235329874,-4.0,-0.19999999999999996,-0.15000000000000002,-0.0,-0.7999999999999999,-0.8,-0.25,1.0,0
2015-01-17,Korea Republic,Australia,0.318277063075584,-50.0,0.09999999999999998,0.25,-0.10000000000000009,0.5999999999999999,0.5,-0.04285714285714293,2.0,0
2015-01-17,Australia,Korea Republic,-0.318277063075584,50.0,-0.09999999999999998,-0.25,0.10000000000000009,-0.5999999999999999,-0.5,0.04285714285714293,2.0,2
2015-01-28,Côte d'Ivoire,Cameroon,71.49457917516861,14.0,-0.09999999999999998,-0.19999999999999996,0.09999999999999987,-0.8,-0.7000000000000001,0.2,2.0,0
2015-01-28,Cameroon,Côte d'Ivoire,-71.49457917516861,-14.0,0.09999999999999998,0.19999999999999996,-0.09999999999999987,0.8,0.7000000000000001,-0.2,2.0,2
2015-01-30,Iraq,United Arab Emirates,-24.688587233923727,-34.0,0.0,-0.25,-0.8,0.0,-0.8,0.0,2.0,2
2015-01-30,United Arab Emirates,Iraq,24.688587233923727,34.0,-0.0,0.25,0.8,-0.0,0.8,-0.0,2.0,0
2015-01-31,Korea Republic,Australia,26.734508432916755,-50.0,-0.20000000000000007,0.04999999999999993,-0.5,0.09999999999999998,-0.39999999999999997,-0.0,2.0,2
